KLambda W: 1.925 Ebeam: 12
Q2 	 CS
10.51	0.0135887
10.52	0.0135446
10.53	0.0135005
10.54	0.0134564
10.55	0.0134124
10.56	0.0133633
10.57	0.0133142
10.58	0.0132651
10.59	0.0132161
10.6	0.013167
10.61	0.0131154
10.62	0.0130638
10.63	0.0130123
10.64	0.0129607
10.65	0.0129091
10.66	0.012868
10.67	0.0128268
10.68	0.0127858
10.69	0.0127447
10.7	0.0127037
10.71	0.0126523
10.72	0.0126009
10.73	0.0125495
10.74	0.0124981
10.75	0.0124467
10.76	0.0124197
10.77	0.0123927
10.78	0.0123658
10.79	0.0123388
10.8	0.0123119
10.81	0.0122712
10.82	0.0122305
10.83	0.0121899
10.84	0.0121493
10.85	0.0121088
10.86	0.0120575
10.87	0.0120063
10.88	0.0119551
10.89	0.0119039
10.9	0.0118527
10.91	0.0118157
10.92	0.0117787
10.93	0.0117418
10.94	0.0117049
10.95	0.0116681
10.96	0.011638
10.97	0.011608
10.98	0.0115779
10.99	0.0115479
11	0.0115179
11.01	0.0114668
11.02	0.0114158
11.03	0.0113647
11.04	0.0113137
11.05	0.0112626
11.06	0.011226
11.07	0.0111894
11.08	0.0111529
11.09	0.0111164
11.1	0.0110799
11.11	0.01105
11.12	0.0110202
11.13	0.0109904
11.14	0.0109606
11.15	0.0109308
11.16	0.0108945
11.17	0.0108581
11.18	0.0108219
11.19	0.0107856
11.2	0.0107494
11.21	0.0107112
11.22	0.010673
11.23	0.0106348
11.24	0.0105966
11.25	0.0105583
11.26	0.0105193
11.27	0.0104803
11.28	0.0104413
11.29	0.0104023
11.3	0.0103634
11.31	0.010337
11.32	0.0103107
11.33	0.0102843
11.34	0.010258
11.35	0.0102317
11.36	0.0102021
11.37	0.0101726
11.38	0.0101431
11.39	0.0101136
11.4	0.0100841
11.41	0.0100482
11.42	0.0100124
11.43	0.0099766
11.44	0.00994083
11.45	0.00990509
11.46	0.00987571
11.47	0.00984633
11.48	0.00981697
11.49	0.00978762
11.5	0.00975829
11.51	0.0097321
11.52	0.00970592
11.53	0.00967974
11.54	0.00965356
11.55	0.00962738
11.56	0.00959185
11.57	0.00955634
11.58	0.00952086
11.59	0.00948541
11.6	0.00944998
11.61	0.00942389
11.62	0.00939779
11.63	0.00937169
11.64	0.0093456
11.65	0.00931951
11.66	0.00929034
11.67	0.00926119
11.68	0.00923204
11.69	0.0092029
11.7	0.00917377
11.71	0.00913854
11.72	0.00910334
11.73	0.00906816
11.74	0.00903301
11.75	0.00899789
11.76	0.0089719
11.77	0.00894591
11.78	0.00891992
